"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Mahadevan M.","Mahadevan, Malathi (60095669700)","60095669700","DATA PROFESSIONALS AT WORK","2018","Data Professionals at Work","","","","1","356","0","10.1007/978-1-4842-3967-4","https://www.scopus.com/pages/publications/105015824317?origin=resultslist","Enjoy reading interviews with more than two dozen data professionals to see a picture of what it’s like to work in the industry managing and analyzing data, helping you to know what it takes to move from your current expertise into one of the fastest growing areas of technology today. Data is the hottest word of the century, and data professionals are in high demand. You may already be a data professional such as a database administrator or business intelligence analyst. Or you may be one of the many people who want to work as a data professional, and are curious how to get there. Either way, this collection helps you understand how data professionals work, what makes them successful, and what they do to keep up. You’ll find interviews in this book with database administrators, database programmers, data architects, business intelligence professionals, and analytics professionals. Interviewees work across industry sectors ranging from healthcare and banking tofinance and transportation and beyond. Each chapter illuminates a successful professional at the top of their game, who shares what helped them get to the top, and what skills and attitudes combine to make them successful in their respective fields. Interviewees in the book include: Mindy Curnutt, Julie Smith, Kenneth Fisher, Andy Leonard, Jes Borland, Kevin Feasel, Ginger Grant, Vicky Harp, Kendra Little, Jason Brimhall, Tim Costello, Andy Mallon, Steph Locke, Jonathan Stewart, Joseph Sack, John Q. Martin, John Morehouse, Kathi Kellenberger, Argenis Fernandez, Kirsten Benzel, Tracy Boggiano, Dave Walden, Matt Gordon, Jimmy May, Drew Furgiuele, Marlon Ribunal, and Joseph Fleming. All of them have been successful in their careers, and share their perspectives on working and succeeding in the field as data and database professionals. What You'll Learn Stand out as an outstanding professional in your area of data work by developing the right set of skills and attitudes that lead to success Avoid common mistakes and pitfalls, and recover from operational failures and bad technology decisions Understand current trends and best practices, and stay out in front as the field evolves Break into working with data through database administration, business intelligence, or any of the other career paths represented in this book Manage stress and develop a healthy work-life balance no matter which career path you decide upon Choose a suitable path for yourself from among the different career paths in working with data Who This Book Is For Database administrators and developers, database and business intelligence architects, consultants, and analytic professionals, as well as those intent on moving into one of those career paths. Aspiring data professionals and those in related technical fields who want to make a move toward managing or analyzing data on a full-time basis will find the book useful. Existing data professionals who want to be outstanding and successful at what they do will also appreciate the book's advice and guidance. © 2018 by Malathi Mahadevan.","Best practices; BI architect; Big data; Business Intelligence; Career path; Data analytics; Data science; Database administration; Database architect; Database development; MySQL; Oracle; PostgreSQL; SQL Server","Data Analytics; Database systems; Employment; Engineering education; Human engineering; Information analysis; Information use; Professional aspects; Best practices; BI architect; Business-intelligence; Career paths; Data analytics; Database administration; Database architect; Database development; MySQL; Oracle; PostgreSQL; SQL servers; Big data; Competitive intelligence","Book","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-105015824317"
"Mrsic L.; Jerkovic H.; Balkovic M.","Mrsic, Leo (56562998000); Jerkovic, Hrvoje (35179831600); Balkovic, Mislav (49561022000)","56562998000; 35179831600; 49561022000","Interactive Skill Based Labor Market Mechanics and Dynamics Analysis System Using Machine Learning and Big Data","2020","Communications in Computer and Information Science","1178 CCIS","","","505","516","11","10.1007/978-981-15-3380-8_44","https://www.scopus.com/pages/publications/85082109529?origin=resultslist","Interest in talent recognition, talent recruitment, education and labor mobility has been on the rise in last years. Business sector is changing its human resources (HR) policies globally, changing ways in policies and practices related to employee management and employer branding. The process of talent recognition and/or search was mostly manual work, often carried by professional agencies or HR officer in organization. In today’s challenging labor market environment, this process is inefficient and slow with and often limited in success. In this paper we are focused on skills, education and lifelong learning domain which has an important role in the 10 priorities of the European Commission (EC) 2014–2019. Our starting point was to look for machine learning and big data techniques to support the policy makers and analysts in reducing mismatch between jobs and skills at regional level in the European Union (EU) through the use of data. Our research includes massive semi structured resume dataset (50+ million documents) combined with several official statistical surveys. We were able to leverage the advances in machine learning and big data to automate resume/skill classification and to improve productivity in skill-based labor market mechanics and dynamics analysis. This paper proposes a model of extracting important information after resumes are being partially classified, classify skills using European multilingual classification of Skills, Competences, Qualifications and Occupations (ESCO) by skill pillar matching and use modern interactive visualization tools to gain smart insights powered by geospatial and time-series analysis. Research goals are to point attention towards data science and machine learning and its usage in labor and educational market mechanics and dynamics. © 2020, Springer Nature Singapore Pte Ltd.","Big data; Data science; ESCO; European Union labor market analytics; Interactive labor market visualization; Labor market dynamics and mechanics; Machine learning; Resume analytics; Skill recognition; Talent management","Big data; Classification (of information); Commerce; Data Science; Database systems; Dynamics; Employment; International law; Learning systems; Machine learning; Personnel; Productivity; Time series analysis; Visualization; ESCO; Labor markets; Resume analytics; Skill recognition; Talent management; Data visualization","Conference paper","Final","","Scopus","2-s2.0-85082109529"
"Yu L.; Li Y.","Yu, Liguo (59108095200); Li, Yingmei (57908574900)","59108095200; 57908574900","Meet industry needs in the big data era: Data science curricula development","2023","Data-Driven Intelligent Business Sustainability","","","","387","401","0","10.4018/979-8-3693-0049-7.ch025","https://www.scopus.com/pages/publications/85182290260?origin=resultslist","The potential wide applications of big data analytics have created a high demand for data analysts in various industries, including business, healthcare, bioinformatics, politics, and management. As a result, higher education institutions are capitalizing on this opportunity by offering different data science programs to attract students and cater to industry needs. Over the past decade, there has been a rapid emergence of data science programs both nationally and globally. This chapter will begin by reviewing the impact of big data analytics on different industries. It will then proceed to describe various data science programs, including their curriculum design, course offerings, and target industry sectors for employment. Additionally, the chapter will address the weaknesses of some curricula and propose new teaching areas that are relevant to improve the learning outcomes of students. The aim of the suggestions is to better prepare data science students for the ever-evolving demands of big data analytics in the industry. © 2024, IGI Global.","","","Book chapter","Final","","Scopus","2-s2.0-85182290260"
"Sharma P.","Sharma, Pavika (57205496834)","57205496834","Integrating Data Science in Educational Curricula","2026","Quantum Learning: Bridging Artificial Intelligence, Quantum Computing, and Data Science in Education","","","","40","49","0","10.1201/9781003637400-5","https://www.scopus.com/pages/publications/105034605638?origin=resultslist","In today’s data-driven world, adding data science to educational programs is essential for preparing students for the changing needs of the 21st-century job market. This chapter discusses the reasons, methods, challenges, and potential benefits of including data science concepts across various educational levels and fields. As businesses increasingly depend on data-driven decision-making, students need foundational data skills not just in STEM (science, technology, engineering, and mathematics) areas but also in business, humanities, social sciences, and the arts. The chapter starts by looking at the development of data-focused education, starting with basic computer skills in the early 2000s and moving to the current focus on machine learning, statistics, and predictive analytics. It lays out the main parts of a solid data science curriculum, including data collection, cleaning, analysis, visualization, and ethical issues. It also explains how these parts can blend into existing subjects to create interdisciplinary learning chances. © 2026 selection and editorial matter, Pawan Whig, Pavika Sharma, Dr. Ahmad A. Elngar, and Nuno Silva; individual chapters, the contributors.","","Behavioral research; Data visualization; Decision making; Education computing; Employment; Engineering education; Learning systems; STEM (science, technology, engineering and mathematics); Students; Changing needs; Data driven; Data driven decision; Decisions makings; Educational levels; Educational program; Engineering and mathematics; Job market; Potential benefits; Science technologies; Curricula; Predictive analytics","Book chapter","Final","","Scopus","2-s2.0-105034605638"
"Vergara-Lozano V.; Lagos-Ortiz K.; Sinche A.; Medina-Moreira J.; García C.R.","Vergara-Lozano, Vanessa (57192083586); Lagos-Ortiz, Katty (57189870529); Sinche, Andrea (57210261394); Medina-Moreira, José (57189872059); García, Christian Rochina (59712784000)","57192083586; 57189870529; 57210261394; 57189872059; 59712784000","Applying Data Science and Machine Learning for Predictive Analytics in Organizational Decision-Making","2025","Communications in Computer and Information Science","2276 CCIS","","","154","166","0","10.1007/978-3-031-75702-0_12","https://www.scopus.com/pages/publications/105001289083?origin=resultslist","This article examines current and future trends in data science and machine learning (ML) within organizational settings using data from the 2020 Kaggle Data Science and Machine Learning Survey, which collected over 20,000 responses. The survey provides a detailed view of the field, addressing demographics, employment trends, preferred tools and methods, and relevant educational backgrounds. Through in-depth descriptive analysis, the study reveals key patterns and concepts illustrating how organizations are adopting and integrating these technologies into their operations. Additionally, the implications of these findings for the future of data science and ML are explored, emphasizing the anticipated evolution in terms of business practices and technological advancements. This approach provides a crucial strategic vision for those seeking to understand and anticipate the changing dynamics in the field of data science and machine learning in the corporate context. The study employs advanced predictive modeling techniques to analyze the dataset, using generative neural networks and optimization methods such as Adam. These tools allow for the exploration of complex relationships and hidden patterns in the data, providing deep insights that go beyond traditional descriptive analyses. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Data science; Demographics; Educational environments; Labor trends; Machine learning; Tools and methods","Contrastive Learning; Data Science; Federated learning; 'current; Demographic; Descriptive analysis; Educational environment; Future trends; Labor trend; Machine-learning; Organizational decision making; Science learning; Tools and methods; Adversarial machine learning","Conference paper","Final","","Scopus","2-s2.0-105001289083"
"Turnbull S.M.; Hobbs M.; Gray L.; Harvey E.P.; Scarrold W.M.L.; O'Neale D.R.J.","Turnbull, S.M. (57210986613); Hobbs, M. (56605906200); Gray, L. (55098657700); Harvey, E.P. (36704525400); Scarrold, W.M.L. (57392298400); O'Neale, D.R.J. (57391641100)","57210986613; 56605906200; 55098657700; 36704525400; 57392298400; 57391641100","Investigating the transmission risk of infectious disease outbreaks through the Aotearoa Co-incidence Network (ACN): a population-based study","2022","The Lancet Regional Health - Western Pacific","20","","100351","","","5","10.1016/j.lanwpc.2021.100351","https://www.scopus.com/pages/publications/85121995781?origin=resultslist","Background: The emergence and re-emergence of infectious diseases presents a significant challenge to public health and broader society. This study utilises novel nationwide data to calculate the transmission risk and potential inequity of infectious disease outbreaks through use of network analysis. Methods: Nationwide employment and education microdata (∼4.7 million individuals in Aotearoa New Zealand) were used to develop the Aotearoa Co-incidence Network (ACN). The ACN considers connections generated when individuals are employed at the same workplaces or enrolled at the same schools. Through forms of network analysis, connections between geospatial areas can be established and provide proxy measures of infectious disease transmission risk. The ACN was also overlayed with nationwide population vulnerability data based on the number of older adults (>65 years) and individuals with long-term health conditions. Findings: We identify areas that have both high potential transmission risk (i.e., highly connected) and high vulnerability to infectious diseases. Community detection identified geographic boundaries that can be relevant to the application of regional restrictions for limiting infectious disease transmission. Interpretation: Integrating novel network science and geospatial analytics provides a simple way to study infectious disease transmission risk and population vulnerability to outbreaks. Our replicable method has utility for researchers globally with access to such data. It can help inform equitable preparation for, and responses to infectious disease outbreaks. Funding: This project was funded by the Health Research Council of New Zealand (20/1442) and from the NZ Government via Ministry for Business Innovation and Employment and Department of Prime Minister and Cabinet. © 2021 The Author(s)","","Article; controlled study; cross-sectional study; disease transmission; epidemic; geographic distribution; high risk population; human; infection; infection risk; New Zealand; public health; risk assessment; vulnerable population","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85121995781"
"Khan Z.; Anjum A.; Soomro K.; Tahir M.A.","Khan, Zaheer (36196546400); Anjum, Ashiq (58122883800); Soomro, Kamran (23480366500); Tahir, Muhammad Atif (57217474070)","36196546400; 58122883800; 23480366500; 57217474070","Towards cloud based big data analytics for smart future cities","2015","Journal of Cloud Computing","4","1","","","","212","10.1186/s13677-015-0026-8","https://www.scopus.com/pages/publications/84926427942?origin=resultslist","A large amount of land-use, environment, socio-economic, energy and transport data is generated in cities. An integrated perspective of managing and analysing such big data can answer a number of science, policy, planning, governance and business questions and support decision making in enabling a smarter environment. This paper presents a theoretical and experimental perspective on the smart cities focused big data management and analysis by proposing a cloud-based analytics service. A prototype has been designed and developed to demonstrate the effectiveness of the analytics service for big data analysis. The prototype has been implemented using Hadoop and Spark and the results are compared. The service analyses the Bristol Open data by identifying correlations between selected urban environment indicators. Experiments are performed using Hadoop and Spark and results are presented in this paper. The data pertaining to quality of life mainly crime and safety & economy and employment was analysed from the data catalogue to measure the indicators spread over years to assess positive and negative trends. © 2015, Khan et al.; licensee Springer.","Big data; Cloud computing; Data mining and analytics; Smart city","Cloud computing; Data mining; Decision making; Economics; Electric sparks; Information management; Land use; Data analytics; Large amounts; Quality of life; Service analysis; Smart cities; Socio-economics; Transport data; Urban environments; Big data","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84926427942"
"Aamer A.M.; Yani L.P.E.; Priyatna I.M.A.","Aamer, Ammar Mohamed (14520507400); Yani, Luh Putu Eka (57203147842); Priyatna, I. Made Alan (57202851308)","14520507400; 57203147842; 57202851308","Data analytics in the supply chain management: Review of machine learning applications in demand forecasting","2021","Operations and Supply Chain Management","14","1","","1","13","133","10.31387/oscm0440281","https://www.scopus.com/pages/publications/85100934958?origin=resultslist","In today's fast-paced global economy coupled with the availability of mobile internet and social networks, several business models have been disrupted. This disruption brings a whole list of opportunities and challenges for organizations and the domain of supply chain management. Given big data availability, data analytics is needed to convert data into meaningful information, which plays an important role in supply chain management. One of the disruptive data analytics techniques that are predicted to impact growth, employment, and inequality in the market is automation of knowledge work, better known as machine learning. In this paper, we focused on comprehensively overviewing machine learning applications in demand forecasting and underlying its potential role in improving the supply chain efficiency. A total of 1870 papers were retrieved from Scopus and Web of Science databases based on our string query related to machine learning. A reduced total of 79 papers focusing on demand forecasting were comprehensively reviewed and used for the analysis in this study. The result showed that neural networks, artificial neural networks, support vector regression, and support vector machine were among the most widely used algorithms in demand forecasting with 27%, 22%, 18%, and 10%, respectively. This accounted for 77% of the total reviewed articles. Most of the machine learning application (65%) was applied in the industry sector, and a limited number of articles (5%) discussed the agriculture sector. This paper's practical implication is in exposing the current machine learning issues in the industry to help stakeholders and decision-makers better plan transformation actions. © 2021 Operations and Supply Chain Management Forum. All rights reserved.","Demand forecasting; Disruptive technology; Machine learning; Supply chain management","","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85100934958"
"Ohri A.","Ohri, Ajay (55810669800)","55810669800","SAS for R Users: A Book for Data Scientists","2019","Sas for R Users: A Book for Data Scientists","","","","1","194","0","10.1002/9781119256441","https://www.scopus.com/pages/publications/85218667799?origin=resultslist","BRIDGES THE GAP BETWEEN SAS AND R, ALLOWING USERS TRAINED IN ONE LANGUAGE TO EASILY LEARN THE OTHER SAS and R are widely-used, very different software environments. Prized for its statistical and graphical tools, R is an open-source programming language that is popular with statisticians and data miners who develop statistical software and analyze data. SAS (Statistical Analysis System) is the leading corporate software in analytics thanks to its faster data handling and smaller learning curve. SAS for R Users enables entry-level data scientists to take advantage of the best aspects of both tools by providing a cross-functional framework for users who already know R but may need to work with SAS. Those with knowledge of both R and SAS are of far greater value to employers, particularly in corporate settings. Using a clear, step-by-step approach, this book presents an analytics workflow that mirrors that of the everyday data scientist. This up-to-date guide is compatible with the latest R packages as well as SAS University Edition. Useful for anyone seeking employment in data science, this book: Instructs both practitioners and students fluent in one language seeking to learn the other Provides command-by-command translations of R to SAS and SAS to R Offers examples and applications in both R and SAS Presents step-by-step guidance on workflows, color illustrations, sample code, chapter quizzes, and more Includes sections on advanced methods and applications Designed for professionals, researchers, and students, SAS for R Users is a valuable resource for those with some knowledge of coding and basic statistics who wish to enter the realm of data science and business analytics. © 2020 John Wiley & Sons, Inc. All rights reserved.","","","Book","Final","","Scopus","2-s2.0-85218667799"
"Khang A.","Khang, Alex (58556605100)","58556605100","AI-Oriented Competency Framework for Talent Management in the Digital Economy: Models, Technologies, Applications, and Implementation","2024","AI-Oriented Competency Framework for Talent Management in the Digital Economy: Models, Technologies, Applications, and Implementation","","","","1","440","62","10.1201/9781003440901","https://www.scopus.com/pages/publications/85173825557?origin=resultslist","In the digital-driven economy era, an AI-oriented competency framework (AIoCF) is a collection to identify AI-oriented knowledge, attributes, efforts, skills, and experiences (AKASE) that directly and positively affect the success of employees and the organization. The application of skills-based competency analytics and AI-equipped systems is gradually becoming accepted by business and production organizations as an effective tool for automating several managerial activities consistently and efficiently in developing and moving the capacity of a company up to a world-class level. AI-Oriented Competency Framework for Talent Management in the Digital Economy: Models, Technologies, Applications, and Implementation discusses all the points of an AIoCF, which includes predictive analytics, advisory services, predictive maintenance, and automated processes, which help to make the operations of project management, personnel management, or administration more efficient, profitable, and safe. The book includes the functionality of emerging career pathways, hybrid learning models, and learning paths related to the learning and development of employees in the production or delivery fields. It also presents the relationship between skills taxonomy and competency framework with interactive methods using datasets, processing workflow diagrams, and architectural diagrams for easy understanding of the application of intelligent functions in role-based competency systems. By also covering upcoming areas of AI and data science in many government and private organizations, the book not only focuses on managing big data and cloud resources of the talent management system but also provides cybersecurity techniques to ensure that systems and employee competency data are secure. This book targets a mixed audience of students, engineers, scholars, researchers, academics, and professionals who are learning, researching, and working in the field of workforce training, human resources, talent management systems, requirement, headhunting, outsourcing, and manpower consultant services from different cultures and industries in the era of digital economy. © 2024 selection and editorial matter, Alex Khang; individual chapters, the contributors.","","Big data; Employment; Engineering education; Human resource management; Information management; Personnel training; Predictive maintenance; Project management; Business organizations; Digital economy; Management systems; Model application; Model implementation; Modeling technology; Production organizations; Talent management; Technology application; Technology implementation; Predictive analytics","Book","Final","","Scopus","2-s2.0-85173825557"
"Gottipati S.; Shim K.J.; Sahoo S.","Gottipati, Swapna (51664951900); Shim, Kyong Jin (36882579400); Sahoo, Sarthak (57226719275)","51664951900; 36882579400; 57226719275","Glassdoor job description analytics - Analyzing data science professional roles and skills","2021","IEEE Global Engineering Education Conference, EDUCON","2021-April","","9453931","1329","1336","9","10.1109/EDUCON46332.2021.9453931","https://www.scopus.com/pages/publications/85112419251?origin=resultslist","With increasing data volume and adoption of technologies including machine learning and artificial intelligence across all industries, the demand for skilled Data Science professionals is continuing to increase globally. For educational institutions to teach the most up-to-date and industry-relevant skills and for businesses to hire employees with the right set of skills, it is important for them to stay tuned to the fast-changing dynamics of job landscape. In this research study, we present an NLP approach to the analysis of job listings from Glassdoor. Our solution mines insights on trending technical and soft skills in the Data Science job categories. Based on the insights, we provide recommendations to design overall data science curriculum learning outcomes (LOs). We also provide recommendations to the course designers on specific technical skills required for the topics of courses under the data science curriculum. © 2021 IEEE.","Analytics; Curriculum; Data science; Jobs; Skills","Artificial intelligence; Curricula; Employment; Engineering education; Glass; Job analysis; Changing dynamics; Educational institutions; Job description; Learning outcome; Professional role; Research studies; Science curriculum; Technical skills; Data Science","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85112419251"
"Alghazal M.","Alghazal, Mohammed (55840639300)","55840639300","Talent Acquisition Process Optimization Using Machine Learning in Resumes' Ranking and Matching to Job Descriptions","2021","SPE Middle East Oil and Gas Show and Conference, MEOS, Proceedings","2021-November","","","","","2","10.2118/204534-MS","https://www.scopus.com/pages/publications/85126899637?origin=resultslist","Employers commonly use time-consuming screening tools or online matching engines that are driven by manual roles and predefined keywords, to search for potential job applicants. Such traditional techniques have not kept pace with the new digital revolution in machine learning and big data analytics. This paper presents advanced artificial intelligent solutions employed for ranking resumes and CV-to-Job Description matching. Open source resumes and job descriptions' documents were used to construct and validate the machine learning models in this paper. Documents were converted to images and processed via Google cloud using Optical Character Recognition algorithm (OCR) to extract text information from all resumes and job descriptions' documents, with more than 97% accuracy. Prior to modeling, the extracted text were processed via a series of Natural Language Processing (NLP) techniques by splitting/tokenizing common words, grouping together inflected form of words, i.e. lemmatization, and removal of stop words and punctuation marks. After text processing, resumes were trained using the unsupervised machine learning algorithm, Latent Dirichlet Allocation (LDA), for topic modeling and categorization. Given the type of resumes used, the algorithm was able to categorize them into 4 main job sectors: marketing and business, engineering, computer science/IT and health. Scores were assigned to each resume to represent the maximum LDA probability for ranking. Another more advanced deep learning algorithm, called Doc2Vec, was also used to train and match potential resumes to relevant job descriptions. In this model, resumes are represented by unique vectors that can be used to group similar documents, match and retrieve resumes related to a given job description document provided by HR. The similarity is measured between each resume and the given job description file to query the top job candidates. The model was tested against several job description files related to engineering, IT and human resources, and was able to identify the top-ranking resumes from over hundreds of trained resumes. This paper presents an innovative method for processing, categorizing and ranking resumes using advanced computational models empowered by the latest fourth industrial resolution technologies. This solution is beneficial to both job seekers and employers, providing efficient and unbiased data-driven method for finding top applicants for a given job. © 2021, Society of Petroleum Engineers","","Data Analytics; Deep learning; Employment; Gasoline; Job analysis; Learning algorithms; Modeling languages; Natural language processing systems; Optical character recognition; Search engines; Statistics; Text processing; Acquisition process; Job description; Latent Dirichlet allocation; Machine-learning; Matching engines; Matchings; On-line matching; Process optimisation; Screening tool; Tool matching; Optimization","Conference paper","Final","","Scopus","2-s2.0-85126899637"
"Qi G.; Wayne S.F.","Qi, Gang (7103278932); Wayne, Steven F. (36461991700)","7103278932; 36461991700","A Framework of Data-Enabled Science for Evaluation of Material Damage Based on Acoustic Emission","2014","Journal of Nondestructive Evaluation","33","4","","597","615","11","10.1007/s10921-014-0255-7","https://www.scopus.com/pages/publications/84910015910?origin=resultslist","Analytics of ‘Big Data’ has been so promising that it is thought to be a new frontier for innovation, competition, and productivity in science and business. Vast amounts of material damage data constitute a unique set of “Big Data” which are generated from damage events when materials are under applied stress, and their occurrence is strongly related to the source physics. Such data forms fundamental “information infrastructure” such that the ensemble of these events can be used as the basis for evaluating the state of material damage, thereby making data-enabled material damage evaluation a new frontier for innovation. Presently, data-enabled digital analytics of material damage is in its infancy and is much needed to advance our understanding of damage physics, which has, for the most part, been overlooked by the classical deterministic approaches. In this article, we propose a framework of data-enabled science for evaluating material damage that includes the introduction of a 3S principle to guide the efforts, and a global damage variate D, which is a multivariate data matrix of random damage with its rows and columns being observations (spectrum) and scale (time series) vectors, respectively, of the real world damage. This multivariate damage data matrix facilitates the systematic employment of standard methods of multivariate statistics and data mining techniques. The proposed framework was implemented by examples taken from typical engineering materials using acoustic emission. The examples revealed that; (1) damage events are interactive and significantly correlated; (2) they form different ensembles in different loading stages implicating damage mechanisms, and (3) their phenomenological behavior can be modeled numerically. The information entropy of multiscale damage matrices revealed a trajectory of damage state that provides a new means to quantify real world material damage. We also highlight some promising research topics related to other digital analytics that can be used for the investigation of material damage. © 2014, Springer Science+Business Media New York.","Big Data; Multivariate analysis; Probabilistic entropy; Random damage; Source physics; Statistics","Big data; Competition; Data mining; Matrix algebra; Multivariant analysis; Statistics; Deterministic approach; Engineering materials; Information entropy; Information infrastructures; Multi variate analysis; Multivariate statistics; Probabilistic entropy; Random damage; Acoustic emission testing","Article","Final","","Scopus","2-s2.0-84910015910"
"Badouch M.; Boutaounte M.","Badouch, Mohamed (59293013400); Boutaounte, Mehdi (56611976700)","59293013400; 56611976700","Strategies for AI and Big Data in Recruitment","2025","Strategies for AI and Big Data in Recruitment","","","","1","293","0","10.4018/979-8-3373-4017-3","https://www.scopus.com/pages/publications/105019014510?origin=resultslist","The integration of AI and big data into recruitment transforms how organizations identify, attract, and retain talent. By leveraging advanced algorithms and data analysis, companies can streamline hiring processes, reduce biases, and make informed decisions. Key strategies include using AI-driven tools for resume screening and candidate matching, utilizing predictive analytics to forecast employee success and retention, and integrating big data to understand labor market trends. Chatbots and virtual assistants can enhance candidate experiences by providing real-time communication and support. When implemented, these technologies may improve efficiency while building a more strategic, data-informed approach to talent acquisition. Strategies for AI and Big Data in Recruitment delves into the transformative impact of AI and big data on recruitment and talent management. It provides a comprehensive guide on how organizations can leverage these technologies to enhance their recruitment processes, improve talent acquisition strategies, and optimize overall human resource management. This book covers topics such as data analysis, deep learning, and social media, and is a useful resource for business owners, managers, computer engineers, academicians, researchers, and data scientists. © 2026 by IGI Global Scientific Publishing. All rights reserved.","","Big data; Data accuracy; Data integration; Employment; Human resource management; Information management; Job satisfaction; Social sciences computing; Chatbots; Hiring process; Informed decision; Labour market; Market trends; Matchings; Real-time communication; Strategic data; Talent management; Virtual assistants; Predictive analytics","Book","Final","","Scopus","2-s2.0-105019014510"
"Ertuğrul D.Ç.; Elçi A.","Ertuğrul, Duygu Çelik (57191228986); Elçi, Atilla (15925008600)","57191228986; 15925008600","Future of Digital Technology and AI in Social Sectors","2024","Future of Digital Technology and AI in Social Sectors","","","","1","578","0","10.4018/979-8-3693-5533-6","https://www.scopus.com/pages/publications/105008259147?origin=resultslist","In a rapidly evolving digital landscape, integrating emerging technologies presents unprecedented opportunities and complex challenges across various disciplines. As society navigates this transformation, there is a growing need for comprehensive insights into the implications of these advancements. This book serves as a vital resource, offering a multidimensional exploration of how emerging technologies are reshaping the social sciences, education, law and policy, tourism, health, environment, communication, business and management, and security. Focusing on the intersection of technology and society, the Future of Digital Technology and AI in Social Sectors addresses pressing issues such as ethical dilemmas in technological advancement, the impact of automation on employment, and the moral and legal challenges of AI and data analytics. By providing a platform for researchers and practitioners to delve into these topics, the book aims to foster a deeper understanding of emerging technologies' implications and opportunities across diverse fields. Researchers and practitioners alike will find this book invaluable for gaining new perspectives and insights into the far-reaching effects of emerging technologies. By offering a comprehensive analysis of these advancements, the book aims to contribute to the ongoing dialogue on technology's role in shaping society's future. Scholars, educators, policymakers, and industry professionals can use this reference to explore the transformative power of emerging technologies in today's world. © 2025 by IGI Global Scientific Publishing. All rights reserved.","","Ethical technology; Social sciences computing; Business and management; Communication business; Communication management; Digital technologies; Emerging technologies; Science education; Science policies; Social educations; Social policy; Social sector; Environmental regulations","Book","Final","","Scopus","2-s2.0-105008259147"
"Zhou D.","Zhou, Dejun (58764075300)","58764075300","Returnee Migrant Workers’ Entrepreneurship Based on Artificial Intelligence","2021","Advances in Intelligent Systems and Computing","1282","","","94","101","1","10.1007/978-3-030-62743-0_14","https://www.scopus.com/pages/publications/85097228192?origin=resultslist","With the development of modern science and technology, the Internet, as an important scientific and technological product, has penetrated into the vast rural areas of China. Various artificial intelligence tools, methods and products which based on the Internet have become the impact on agricultural production and development, rural social progress, farmers’ important factors for income generation and income growth. Returning rural migrant workers to start a business is an important part of China’s strategy to promote rural rejuvenation. Based on the perspective of artificial intelligence, we will analyze the practical dilemma of artificial intelligence in the process of entrepreneurship of returning rural migrant workers in China, and find solutions to the problem. For the development of agricultural industry production, the promotion of rural social progress, the promotion of farmers’ income and employment, and finally the realization of the rural revitalization strategy. The goal has important theoretical value and practical significance. © 2021, The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG.","Artificial intelligence; Increasing farmers’ income; Intelligent identification APP; Returning rural migrant workers to start a business","Agricultural robots; Agriculture; Big data; Data privacy; Internet of things; Machine learning; Agricultural industries; Agricultural productions; Artificial intelligence tools; Income generation; Migrant workers; Modern science; Social progress; Theoretical values; Advanced Analytics","Conference paper","Final","","Scopus","2-s2.0-85097228192"
"Gray D.A.","Gray, Douglas A. (59560703700)","59560703700","The Art of Data Science: A Practitioner's Guide","2025","The Art of Data Science: A Practitioner's Guide","","","","1","198","0","10.1201/9781003588344","https://www.scopus.com/pages/publications/85217982614?origin=resultslist","Although change is constant in business and analytics, some fundamental principles and lessons learned are truly timeless, extending and surviving beyond the rapid ongoing evolution of tools, techniques, and technologies. Through a series of articles published over the course of his 30+ year career in analytics and technology, Doug Gray shares the most important lessons he has learned – with colleagues and students as well – that have helped to ensure success on his journey as a practitioner, leader, and educator. The reader witnesses the Analytical Sciences profession through the mind’s eye of a practitioner who has operated at the forefront of analytically inclined organizations, such as American Airlines and Walmart, delivering solutions that generate hundreds of millions of dollars annually in business value, and an educator teaching students and conducting research at a leading university. Through real-world project case studies, frst-hand stories, and practical examples, we learn the foundational truth underlying successful analytics applications. From bridging theory and practice, to playing a role as a consultant in digital transformation, to understanding how analytics can be economically transformational, identifying required soft skills like leadership skills, and understanding the reasons why data science projects often fail, the reader can better visualize and understand the nuanced, multidimensional nature of Analytical Sciences best practices, projects, and initiatives. The readers will gain a broad perspective on where and how to fnd success with Analytical Sciences, including the ability to ensure that we apply the right tool, at the right time and right place, and sometimes in different industries. Finally, through the author’s own career synopsis on becoming a practitioner and leader, and his distilled insights, the reader is offered a view into the future that analytics holds, along with some invaluable career advice regarding where to focus, how to make good choices, and how to measure success individually and organizationally. © 2025 Douglas A. Gray.","","Biographies; Curricula; Employment; Engineering education; Professional aspects; Students; Teaching; American Airlines; Analytical science; Business value; Case-studies; Fundamental principles; Learn+; Project case; Real world projects; Theory and practice; Wal Mart; Metadata","Book","Final","","Scopus","2-s2.0-85217982614"
